Day	Month	Year	Tmin(c)	Tmax(c)	Prcp(mm)	Et0(mm)
1	1	2018	-31.31	-13.47	0.0	0.178534178698276
2	1	2018	-21.19	-4.77	0.0	0.314291930158023
3	1	2018	-13.9	-2.3	0.0	0.320930907152077
4	1	2018	-13.55	-5.49	0.0	0.2210670974555845
5	1	2018	-14.12	-6.55	0.0	0.2006995067055424
6	1	2018	-12.84	0.89	0.0	0.4085271167908457
7	1	2018	-8.96	0.9	0.0	0.3468040995438563
8	1	2018	-9.99	-2.19	0.0	0.2585765907199541
9	1	2018	-11.78	-0.5	0.0	0.3512469650203382
10	1	2018	-24.26	-17.8	0.43	0.0909503903924962
11	1	2018	-29.55	-21.97	0.0	0.0746512503801886
12	1	2018	-31.63	-20.57	0.0	0.099192678967829
13	1	2018	-27.42	-8.34	0.0	0.2592425605027714
14	1	2018	-22.71	-10.01	0.0	0.2182817658048579
15	1	2018	-29.38	-15.1	0.0	0.1600648876467489
16	1	2018	-20.98	-0.59	0.0	0.4213807763992933
17	1	2018	-9.28	3.65	0.59	0.4668541562277567
18	1	2018	-7.42	7.55	0.0	0.5909851081800483
19	1	2018	-5.16	3.95	0.0	0.391649820914031
20	1	2018	-8.23	0.74	0.0	0.3379909921986099
21	1	2018	-12.0	-1.43	0.0	0.3357376325559644
22	1	2018	-10.87	3.02	0.0	0.4753467660937777
23	1	2018	-11.18	0.15	0.0	0.379387539655809
24	1	2018	-10.76	-2.83	0.0	0.2665453085006484
25	1	2018	-9.73	-2.18	0.0	0.2673873693054545
26	1	2018	-12.86	-7.68	0.71	0.1534156598663424
27	1	2018	-19.65	-13.29	0.0	0.1289535714368244
28	1	2018	-21.91	-14.36	0.65	0.1350558410060338
29	1	2018	-22.86	-2.65	0.0	0.3898209473930685
30	1	2018	-12.64	2.01	0.0	0.4771410216175745
31	1	2018	-23.67	-14.48	0.0	0.1526020537944811
1	2	2018	-26.63	-15.46	0.0	0.1565734577513943
2	2	2018	-22.29	-17.85	3.62	0.0721244479949134
3	2	2018	-27.57	-20.55	1.39	0.0879792516336583
4	2	2018	-28.78	-16.67	0.0	0.1501045211849618
5	2	2018	-26.81	-15.57	0.0	0.1595146577632153
6	2	2018	-27.91	-17.66	0.0	0.133614101800669
7	2	2018	-27.64	-14.09	0.0	0.1878844806925772
8	2	2018	-26.6	-17.19	0.0	0.1342420073417957
9	2	2018	-28.79	-16.55	0.0	0.1554415024692104
10	2	2018	-21.38	-9.61	0.0	0.2456811136784269
11	2	2018	-27.94	-16.11	0.0	0.1604597383131512
12	2	2018	-32.41	-12.38	0.0	0.2190534992038215
13	2	2018	-19.11	2.03	0.0	0.6332780375904924
14	2	2018	-14.47	1.03	2.46	0.5257086954430878
15	2	2018	-28.14	-13.01	0.0	0.2148074354147919
16	2	2018	-21.17	-4.42	0.0	0.4167154242979171
17	2	2018	-19.43	-10.87	0.0	0.2037427108598757
18	2	2018	-23.01	-12.99	0.0	0.1941690516498929
19	2	2018	-27.71	-13.86	0.0	0.2044273217884695
20	2	2018	-24.06	-12.15	0.0	0.2218670521657218
21	2	2018	-29.82	-10.45	0.0	0.2725801912374599
22	2	2018	-24.6	-8.64	0.0	0.3236700598721281
23	2	2018	-19.72	-6.69	0.0	0.3686441056795131
24	2	2018	-15.94	-1.58	0.0	0.5594098618551866
25	2	2018	-17.07	-1.54	0.0	0.5687803597068142
26	2	2018	-15.04	-4.69	0.0	0.3967987421271318
27	2	2018	-14.76	-2.2	0.0	0.5295654459939371
28	2	2018	-13.83	0.39	0.0	0.6674740145571189
1	3	2018	-18.04	-2.61	0.0	0.5508105445582376
2	3	2018	-13.65	-4.72	0.0	0.4281909272115136
3	3	2018	-8.2	-4.37	4.68	0.1588153628564736
4	3	2018	-11.15	-5.58	8.57	0.2031857596952198
5	3	2018	-14.96	-8.64	0.0	0.2083094414008048
6	3	2018	-17.96	-7.57	0.0	0.3283697442215683
7	3	2018	-23.86	-6.95	0.0	0.4019990004060145
8	3	2018	-24.1	-7.63	0.0	0.3841326449876687
9	3	2018	-12.88	-1.51	0.0	0.5667267751652737
10	3	2018	-12.61	-0.91	0.0	0.604943459277547
11	3	2018	-14.01	2.5	0.0	0.8168904505348419
12	3	2018	-15.6	-0.98	0.0	0.6501202251937844
13	3	2018	-15.8	2.12	0.0	0.8050723731993978
14	3	2018	-15.45	-1.25	0.0	0.649342960837107
15	3	2018	-10.5	-3.14	0.0	0.4036049108484186
16	3	2018	-7.19	1.57	0.0	0.6760830156377011
17	3	2018	-3.81	-0.11	3.2	0.2059676524104741
18	3	2018	-6.2	0.94	1.01	0.5534733908478533
19	3	2018	-8.97	-0.79	0.0	0.5496533598509398
